Asset Location,Asset IP Address,Asset Alternate IPv4 Addresses,Asset Names,Asset Risk Score,Asset OS Name,Vulnerability Title,Vulnerability PCI Compliance Status,Vulnerability CVSS Score,Vulnerability CVSSv3 Score,Vulnerability Description,Vulnerability ID,Service Port,Vulnerability Solution,Vulnerability Proof,Vulnerability Published Date,Vulnerable Since,Vulnerability Age,Vulnerability CVE IDs,Vulnerability CVE URLs
Des Moines,10.10.0.96,,l1pdavc01.eservices.coop.org,"29,029",Red Hat Enterprise Linux,"Java CPU April 2020 Java SE, Java SE Embedded vulnerability (CVE-2020-2756)",Pass,4.3,3.7,"Vulnerability in the Java SE, Java SE Embedded product of Oracle Java SE (component: Serialization). Supported versions that are affected are Java SE: 7u251, 8u241, 11.0.6 and 14; Java SE Embedded: 8u241. Difficult to exploit vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise Java SE, Java SE Embedded. Successful attacks of this vulnerability can result in unauthorized ability to cause a partial denial of service (partial DOS) of Java SE, Java SE Embedded. Note: Applies to client and server deployment of Java. This vulnerability can be exploited through sandboxed Java Web Start applications and sandboxed Java applets. It can also be exploited by supplying data to APIs in the specified Component without using sandboxed Java Web Start applications or sandboxed Java applets, such as through a web service. CVSS 3.0 Base Score 3.7 (Availability impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:L).",jre-vuln-cve-2020-2756,0,"Upgrade to the latest version of Oracle Java

Download and apply the upgrade from:  https://www.java.com/en/download/manual.jsp","Vulnerable OS: Red Hat Enterprise Linux 8.6


Vulnerable software installed: Oracle JRE 1.8.0.201 (/home/oracle/opt/app/u01/app/oracle/product/19c-1.0-1/dbhome_1/jdk/jre/lib/rt.jar)",2020-04-16,2022-05-01,43 Days,CVE-2020-2756,http://nvd.nist.gov/vuln/detail/CVE-2020-2756
Des Moines,10.10.0.96,,l1pdavc01.eservices.coop.org,"29,029",Red Hat Enterprise Linux,"Java CPU April 2020 Java SE, Java SE Embedded vulnerability (CVE-2020-2781)",Pass,5.0,5.3,"Vulnerability in the Java SE, Java SE Embedded product of Oracle Java SE (component: JSSE). Supported versions that are affected are Java SE: 7u251, 8u241, 11.0.6 and 14; Java SE Embedded: 8u241. Easily exploitable vulnerability allows unauthenticated attacker with network access via HTTPS to compromise Java SE, Java SE Embedded. Successful attacks of this vulnerability can result in unauthorized ability to cause a partial denial of service (partial DOS) of Java SE, Java SE Embedded. Note: Applies to client and server deployment of Java. This vulnerability can be exploited through sandboxed Java Web Start applications and sandboxed Java applets. It can also be exploited by supplying data to APIs in the specified Component without using sandboxed Java Web Start applications or sandboxed Java applets, such as through a web service. CVSS 3.0 Base Score 5.3 (Availability impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L).",jre-vuln-cve-2020-2781,0,"Upgrade to the latest version of Oracle Java

Download and apply the upgrade from:  https://www.java.com/en/download/manual.jsp","Vulnerable OS: Red Hat Enterprise Linux 8.6


Vulnerable software installed: Oracle JRE 1.8.0.201 (/home/oracle/opt/app/u01/app/oracle/product/19c-1.0-1/dbhome_1/jdk/jre/lib/rt.jar)",2020-04-16,2022-05-01,43 Days,CVE-2020-2781,http://nvd.nist.gov/vuln/detail/CVE-2020-2781
Des Moines,10.10.0.96,,l1pdavc01.eservices.coop.org,"29,029",Red Hat Enterprise Linux,"Java CPU April 2020 Java SE, Java SE Embedded vulnerability (CVE-2020-2773)",Pass,4.3,3.7,"Vulnerability in the Java SE, Java SE Embedded product of Oracle Java SE (component: Security). Supported versions that are affected are Java SE: 7u251, 8u241, 11.0.6 and 14; Java SE Embedded: 8u241. Difficult to exploit vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise Java SE, Java SE Embedded. Successful attacks of this vulnerability can result in unauthorized ability to cause a partial denial of service (partial DOS) of Java SE, Java SE Embedded. Note: Applies to client and server deployment of Java. This vulnerability can be exploited through sandboxed Java Web Start applications and sandboxed Java applets. It can also be exploited by supplying data to APIs in the specified Component without using sandboxed Java Web Start applications or sandboxed Java applets, such as through a web service. CVSS 3.0 Base Score 3.7 (Availability impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:L).",jre-vuln-cve-2020-2773,0,"Upgrade to the latest version of Oracle Java

Download and apply the upgrade from:  https://www.java.com/en/download/manual.jsp","Vulnerable OS: Red Hat Enterprise Linux 8.6


Vulnerable software installed: Oracle JRE 1.8.0.201 (/home/oracle/opt/app/u01/app/oracle/product/19c-1.0-1/dbhome_1/jdk/jre/lib/rt.jar)",2020-04-16,2022-05-01,43 Days,CVE-2020-2773,http://nvd.nist.gov/vuln/detail/CVE-2020-2773
Des Moines,10.10.0.96,,l1pdavc01.eservices.coop.org,"29,029",Red Hat Enterprise Linux,"Java CPU January 2020 Java SE, Java SE Embedded vulnerability (CVE-2020-2590)",Fail,4.3,3.7,"Vulnerability in the Java SE, Java SE Embedded product of Oracle Java SE (component: Security). Supported versions that are affected are Java SE: 7u241, 8u231, 11.0.5 and 13.0.1; Java SE Embedded: 8u231. Difficult to exploit vulnerability allows unauthenticated attacker with network access via Kerberos to compromise Java SE, Java SE Embedded. Successful attacks of this vulnerability can result in unauthorized update, insert or delete access to some of Java SE, Java SE Embedded accessible data. Note: This vulnerability applies to Java deployments, typically in clients running sandboxed Java Web Start applications or sandboxed Java applets (in Java SE 8), that load and run untrusted code (e.g., code that comes from the internet) and rely on the Java sandbox for security. This vulnerability can also be exploited by using APIs in the specified Component, e.g., through a web service which supplies data to the APIs. CVSS 3.0 Base Score 3.7 (Integrity impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:L/A:N).",jre-vuln-cve-2020-2590,0,"Upgrade to the latest version of Oracle Java

Download and apply the upgrade from:  https://www.java.com/en/download/manual.jsp","Vulnerable OS: Red Hat Enterprise Linux 8.6


Vulnerable software installed: Oracle JRE 1.8.0.201 (/home/oracle/opt/app/u01/app/oracle/product/19c-1.0-1/dbhome_1/jdk/jre/lib/rt.jar)",2020-01-15,2022-05-01,43 Days,CVE-2020-2590,http://nvd.nist.gov/vuln/detail/CVE-2020-2590
Des Moines,10.10.0.96,,l1pdavc01.eservices.coop.org,"29,029",Red Hat Enterprise Linux,"Java CPU January 2020 Java SE, Java SE Embedded vulnerability (CVE-2020-2593)",Fail,5.8,4.8,"Vulnerability in the Java SE, Java SE Embedded product of Oracle Java SE (component: Networking). Supported versions that are affected are Java SE: 7u241, 8u231, 11.0.5 and 13.0.1; Java SE Embedded: 8u231. Difficult to exploit vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise Java SE, Java SE Embedded. Successful attacks of this vulnerability can result in unauthorized update, insert or delete access to some of Java SE, Java SE Embedded accessible data as well as unauthorized read access to a subset of Java SE, Java SE Embedded accessible data. Note: This vulnerability applies to Java deployments, typically in clients running sandboxed Java Web Start applications or sandboxed Java applets (in Java SE 8), that load and run untrusted code (e.g., code that comes from the internet) and rely on the Java sandbox for security. This vulnerability can also be exploited by using APIs in the specified Component, e.g., through a web service which supplies data to the APIs. CVSS 3.0 Base Score 4.8 (Confidentiality and Integrity impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:N).",jre-vuln-cve-2020-2593,0,"Upgrade to the latest version of Oracle Java

Download and apply the upgrade from:  https://www.java.com/en/download/manual.jsp","Vulnerable OS: Red Hat Enterprise Linux 8.6


Vulnerable software installed: Oracle JRE 1.8.0.201 (/home/oracle/opt/app/u01/app/oracle/product/19c-1.0-1/dbhome_1/jdk/jre/lib/rt.jar)",2020-01-15,2022-05-01,43 Days,CVE-2020-2593,http://nvd.nist.gov/vuln/detail/CVE-2020-2593
Des Moines,10.10.0.96,,l1pdavc01.eservices.coop.org,"29,029",Red Hat Enterprise Linux,"Java CPU January 2020 Java SE, Java SE Embedded vulnerability (CVE-2020-2583)",Pass,4.3,3.7,"Vulnerability in the Java SE, Java SE Embedded product of Oracle Java SE (component: Serialization). Supported versions that are affected are Java SE: 7u241, 8u231, 11.0.5 and 13.0.1; Java SE Embedded: 8u231. Difficult to exploit vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise Java SE, Java SE Embedded. Successful attacks of this vulnerability can result in unauthorized ability to cause a partial denial of service (partial DOS) of Java SE, Java SE Embedded. Note: This vulnerability applies to Java deployments, typically in clients running sandboxed Java Web Start applications or sandboxed Java applets (in Java SE 8), that load and run untrusted code (e.g., code that comes from the internet) and rely on the Java sandbox for security. This vulnerability can also be exploited by using APIs in the specified Component, e.g., through a web service which supplies data to the APIs. CVSS 3.0 Base Score 3.7 (Availability impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:L).",jre-vuln-cve-2020-2583,0,"Upgrade to the latest version of Oracle Java

Download and apply the upgrade from:  https://www.java.com/en/download/manual.jsp","Vulnerable OS: Red Hat Enterprise Linux 8.6


Vulnerable software installed: Oracle JRE 1.8.0.201 (/home/oracle/opt/app/u01/app/oracle/product/19c-1.0-1/dbhome_1/jdk/jre/lib/rt.jar)",2020-01-15,2022-05-01,43 Days,CVE-2020-2583,http://nvd.nist.gov/vuln/detail/CVE-2020-2583
Des Moines,10.10.0.96,,l1pdavc01.eservices.coop.org,"29,029",Red Hat Enterprise Linux,Java CPU January 2020 Java SE vulnerability (CVE-2020-2585),Fail,4.3,5.9,"Vulnerability in the Java SE product of Oracle Java SE (component: JavaFX). The supported version that is affected is Java SE: 8u231. Difficult to exploit vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise Java SE. Successful attacks of this vulnerability can result in unauthorized creation, deletion or modification access to critical data or all Java SE accessible data. Note: This vulnerability applies to Java deployments, typically in clients running sandboxed Java Web Start applications or sandboxed Java applets (in Java SE 8), that load and run untrusted code (e.g., code that comes from the internet) and rely on the Java sandbox for security. This vulnerability can also be exploited by using APIs in the specified Component, e.g., through a web service which supplies data to the APIs. CVSS 3.0 Base Score 5.9 (Integrity impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N).",jre-vuln-cve-2020-2585,0,"Upgrade to the latest version of Oracle Java

Download and apply the upgrade from:  https://www.java.com/en/download/manual.jsp","Vulnerable OS: Red Hat Enterprise Linux 8.6


Vulnerable software installed: Oracle JRE 1.8.0.201 (/home/oracle/opt/app/u01/app/oracle/product/19c-1.0-1/dbhome_1/jdk/jre/lib/rt.jar)",2020-01-15,2022-05-01,43 Days,CVE-2020-2585,http://nvd.nist.gov/vuln/detail/CVE-2020-2585
Des Moines,10.10.0.96,,l1pdavc01.eservices.coop.org,"29,029",Red Hat Enterprise Linux,"Java CPU January 2020 Java SE, Java SE Embedded vulnerability (CVE-2020-2659)",Pass,4.3,3.7,"Vulnerability in the Java SE, Java SE Embedded product of Oracle Java SE (component: Networking). Supported versions that are affected are Java SE: 7u241 and 8u231; Java SE Embedded: 8u231. Difficult to exploit vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise Java SE, Java SE Embedded. Successful attacks of this vulnerability can result in unauthorized ability to cause a partial denial of service (partial DOS) of Java SE, Java SE Embedded. Note: This vulnerability applies to Java deployments, typically in clients running sandboxed Java Web Start applications or sandboxed Java applets (in Java SE 8), that load and run untrusted code (e.g., code that comes from the internet) and rely on the Java sandbox for security. This vulnerability can also be exploited by using APIs in the specified Component, e.g., through a web service which supplies data to the APIs. CVSS 3.0 Base Score 3.7 (Availability impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:L).",jre-vuln-cve-2020-2659,0,"Upgrade to the latest version of Oracle Java

Download and apply the upgrade from:  https://www.java.com/en/download/manual.jsp","Vulnerable OS: Red Hat Enterprise Linux 8.6


Vulnerable software installed: Oracle JRE 1.8.0.201 (/home/oracle/opt/app/u01/app/oracle/product/19c-1.0-1/dbhome_1/jdk/jre/lib/rt.jar)",2020-01-15,2022-05-01,43 Days,CVE-2020-2659,http://nvd.nist.gov/vuln/detail/CVE-2020-2659
Des Moines,10.10.0.96,,l1pdavc01.eservices.coop.org,"29,029",Red Hat Enterprise Linux,Java CPU January 2020 Java SE vulnerability (CVE-2020-2654),Pass,4.3,3.7,"Vulnerability in the Java SE product of Oracle Java SE (component: Libraries). Supported versions that are affected are Java SE: 7u241, 8u231, 11.0.5 and 13.0.1. Difficult to exploit vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise Java SE. Successful attacks of this vulnerability can result in unauthorized ability to cause a partial denial of service (partial DOS) of Java SE. Note: This vulnerability can only be exploited by supplying data to APIs in the specified Component without using Untrusted Java Web Start applications or Untrusted Java applets, such as through a web service. CVSS 3.0 Base Score 3.7 (Availability impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:L).",jre-vuln-cve-2020-2654,0,"Upgrade to the latest version of Oracle Java

Download and apply the upgrade from:  https://www.java.com/en/download/manual.jsp","Vulnerable OS: Red Hat Enterprise Linux 8.6


Vulnerable software installed: Oracle JRE 1.8.0.201 (/home/oracle/opt/app/u01/app/oracle/product/19c-1.0-1/dbhome_1/jdk/jre/lib/rt.jar)",2020-01-15,2022-05-01,43 Days,CVE-2020-2654,http://nvd.nist.gov/vuln/detail/CVE-2020-2654
Des Moines,10.10.0.96,,l1pdavc01.eservices.coop.org,"29,029",Red Hat Enterprise Linux,"Java CPU January 2020 Java SE, Java SE Embedded vulnerability (CVE-2020-2601)",Fail,4.3,6.8,"Vulnerability in the Java SE, Java SE Embedded product of Oracle Java SE (component: Security). Supported versions that are affected are Java SE: 7u241, 8u231, 11.0.5 and 13.0.1; Java SE Embedded: 8u231. Difficult to exploit vulnerability allows unauthenticated attacker with network access via Kerberos to compromise Java SE, Java SE Embedded. While the vulnerability is in Java SE, Java SE Embedded, attacks may significantly impact additional products. Successful attacks of this vulnerability can result in unauthorized access to critical data or complete access to all Java SE, Java SE Embedded accessible data. Note: This vulnerability applies to Java deployments, typically in clients running sandboxed Java Web Start applications or sandboxed Java applets (in Java SE 8), that load and run untrusted code (e.g., code that comes from the internet) and rely on the Java sandbox for security. This vulnerability can also be exploited by using APIs in the specified Component, e.g., through a web service which supplies data to the APIs. CVSS 3.0 Base Score 6.8 (Confidentiality impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:C/C:H/I:N/A:N).",jre-vuln-cve-2020-2601,0,"Upgrade to the latest version of Oracle Java

Download and apply the upgrade from:  https://www.java.com/en/download/manual.jsp","Vulnerable OS: Red Hat Enterprise Linux 8.6


Vulnerable software installed: Oracle JRE 1.8.0.201 (/home/oracle/opt/app/u01/app/oracle/product/19c-1.0-1/dbhome_1/jdk/jre/lib/rt.jar)",2020-01-15,2022-05-01,43 Days,CVE-2020-2601,http://nvd.nist.gov/vuln/detail/CVE-2020-2601
Des Moines,10.10.0.96,,l1pdavc01.eservices.coop.org,"29,029",Red Hat Enterprise Linux,"Java CPU January 2020 Java SE, Java SE Embedded vulnerability (CVE-2020-2604)",Fail,6.8,8.1,"Vulnerability in the Java SE, Java SE Embedded product of Oracle Java SE (component: Serialization). Supported versions that are affected are Java SE: 7u241, 8u231, 11.0.5 and 13.0.1; Java SE Embedded: 8u231. Difficult to exploit vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise Java SE, Java SE Embedded. Successful attacks of this vulnerability can result in takeover of Java SE, Java SE Embedded. Note: This vulnerability applies to Java deployments, typically in clients running sandboxed Java Web Start applications or sandboxed Java applets (in Java SE 8), that load and run untrusted code (e.g., code that comes from the internet) and rely on the Java sandbox for security. This vulnerability can also be exploited by using APIs in the specified Component, e.g., through a web service which supplies data to the APIs. CVSS v3.0 Base Score 8.1 (Confidentiality, Integrity and Availability impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H).",jre-vuln-cve-2020-2604,0,"Upgrade to the latest version of Oracle Java

Download and apply the upgrade from:  https://www.java.com/en/download/manual.jsp","Vulnerable OS: Red Hat Enterprise Linux 8.6


Vulnerable software installed: Oracle JRE 1.8.0.201 (/home/oracle/opt/app/u01/app/oracle/product/19c-1.0-1/dbhome_1/jdk/jre/lib/rt.jar)",2020-01-15,2022-05-01,43 Days,CVE-2020-2604,http://nvd.nist.gov/vuln/detail/CVE-2020-2604
